rouge1,rouge2,rougeL,rougeLsum,dot,cosine,euclidean,manhattan,loop,refer,mode,model_name,task,language
0.05398819120928654,0.01114825240441004,0.05517430135060836,0.054210990722146885,0.5389665961265564,0.5389665961265564,-0.9422189593315125,-14.622801780700684,1,n-1,q,llama,medical,zh
0.05398819120928654,0.01114825240441004,0.05517430135060836,0.054210990722146885,0.5389665961265564,0.5389665961265564,-0.9422189593315125,-14.622801780700684,1,0,q,llama,medical,zh
0.34162415117048206,0.217811386695471,0.3227352100227995,0.3408487119383018,0.6354508996009827,0.6354508996009827,-0.82346510887146,-12.802135467529297,1,n-1,a,llama,medical,zh
0.34162415117048206,0.217811386695471,0.3227352100227995,0.3408487119383018,0.6354508996009827,0.6354508996009827,-0.82346510887146,-12.802135467529297,1,0,a,llama,medical,zh
0.06414564826430322,0.007717569786535303,0.06552268083645252,0.06475010793922767,0.6047735810279846,0.6047736406326294,-0.8145069479942322,-12.640586853027344,2,n-1,q,llama,medical,zh
0.03140394088669951,0.0031667839549612943,0.031633141762452105,0.03144157088122605,0.4860595464706421,0.4860595464706421,-0.997144877910614,-15.48999309539795,2,0,q,llama,medical,zh
0.3422088783974926,0.24858051459714262,0.3250803674686058,0.34213077378885615,0.6268438696861267,0.6268438696861267,-0.823941707611084,-12.798980712890625,2,n-1,a,llama,medical,zh
0.26931541353572097,0.17292440187991737,0.25697694680513194,0.26762983526036777,0.5583788752555847,0.5583788752555847,-0.9059736132621765,-14.075136184692383,2,0,a,llama,medical,zh
0.04665138380728064,0.011647629874230857,0.04697715956409089,0.04646171465933853,0.6234976053237915,0.6234976053237915,-0.780358076095581,-12.110640525817871,3,n-1,q,llama,medical,zh
0.016436044114615543,0.001055594651653765,0.017020975056689345,0.016317822844916445,0.46910279989242554,0.46910279989242554,-1.0168472528457642,-15.78647232055664,3,0,q,llama,medical,zh
0.2869731896689157,0.21026603471869287,0.27576968926602957,0.28644180450729473,0.6581946015357971,0.6581946015357971,-0.7829039096832275,-12.161979675292969,3,n-1,a,llama,medical,zh
0.21833050337255439,0.14090918387949292,0.20576386728394444,0.21695970193266845,0.5032171010971069,0.5032172203063965,-0.9672620892524719,-15.018046379089355,3,0,a,llama,medical,zh
0.04190306790736957,0.009645177411294352,0.042550244743577145,0.04300306616531552,0.6551284193992615,0.6551284193992615,-0.7376987934112549,-11.462310791015625,4,n-1,q,llama,medical,zh
0.018082810047095763,0.0007037297677691766,0.01829686118479222,0.01807852451325358,0.45779362320899963,0.457793653011322,-1.0309715270996094,-16.01155662536621,4,0,q,llama,medical,zh
0.25776238041969834,0.19877932418713323,0.25109511532095075,0.2584062391626305,0.6719518303871155,0.6719518303871155,-0.7663371562957764,-11.908975601196289,4,n-1,a,llama,medical,zh
0.2008291656409918,0.12378900365630219,0.19171585637221594,0.19935558800030415,0.48331326246261597,0.48331326246261597,-0.9914749264717102,-15.400455474853516,4,0,a,llama,medical,zh
