rouge1,rouge2,rougeL,rougeLsum,dot,cosine,euclidean,manhattan,loop,refer,mode,model_name,task,language
0.03546762834688531,0.01085972850678733,0.03490414384377232,0.036383379262636226,0.6526805758476257,0.6526805758476257,-0.7983679175376892,-12.409589767456055,1,n-1,q,llama,legal,zh
0.03546762834688531,0.01085972850678733,0.03490414384377232,0.036383379262636226,0.6526805758476257,0.6526805758476257,-0.7983679175376892,-12.409589767456055,1,0,q,llama,legal,zh
0.4215418697977098,0.3201486414605299,0.4109251537496533,0.41971163873272954,0.7138161063194275,0.7138161063194275,-0.7290056943893433,-11.319747924804688,1,n-1,a,llama,legal,zh
0.4215418697977098,0.3201486414605299,0.4109251537496533,0.41971163873272954,0.7138161063194275,0.7138161063194275,-0.7290056943893433,-11.319747924804688,1,0,a,llama,legal,zh
0.01809954751131222,0.004524886877828055,0.01809954751131222,0.01809954751131222,0.7483471035957336,0.7483471035957336,-0.6078051924705505,-9.440954208374023,2,n-1,q,llama,legal,zh
0.014571921886163373,0.004524886877828055,0.014378423434150987,0.015460030165912518,0.6005637645721436,0.6005637645721436,-0.8655549883842468,-13.468451499938965,2,0,q,llama,legal,zh
0.4572100751234651,0.3546129330555763,0.44336052088504296,0.4551615900218777,0.7159913182258606,0.7159913778305054,-0.7134659886360168,-11.077644348144531,2,n-1,a,llama,legal,zh
0.37144208772127185,0.2738853158959405,0.3634625378105606,0.36958246892067426,0.664332926273346,0.664332926273346,-0.7867217659950256,-12.204560279846191,2,0,a,llama,legal,zh
0.013909837439249204,0.004524886877828055,0.013574660633484163,0.013909837439249204,0.7672044634819031,0.7672044634819031,-0.5671145915985107,-8.804215431213379,3,n-1,q,llama,legal,zh
0.009287925696594425,0.004524886877828055,0.009287925696594425,0.009784075573549258,0.5827614068984985,0.5827614068984985,-0.8863478302955627,-13.789340019226074,3,0,q,llama,legal,zh
0.4506463239626459,0.36249497259672947,0.4393120013799118,0.44944861862988283,0.7209047079086304,0.7209047079086304,-0.7049987316131592,-10.946653366088867,3,n-1,a,llama,legal,zh
0.34539587677410466,0.26081781187663333,0.33829533142173845,0.34516394750534396,0.6238097548484802,0.6238097548484802,-0.8343853950500488,-12.947225570678711,3,0,a,llama,legal,zh
0.011312217194570135,0.004524886877828055,0.011312217194570135,0.011312217194570135,0.7512888312339783,0.7512888312339783,-0.577523410320282,-8.961346626281738,4,n-1,q,llama,legal,zh
0.00904977375565611,0.004524886877828055,0.008672699849170436,0.009200603318250377,0.569462239742279,0.569462239742279,-0.9031929969787598,-14.033843994140625,4,0,q,llama,legal,zh
0.445509811774499,0.36598758109170876,0.4321062848888002,0.4452833936753648,0.7271472811698914,0.7271474003791809,-0.6958367824554443,-10.801597595214844,4,n-1,a,llama,legal,zh
0.32615901692183,0.2475496553998658,0.3190185963199508,0.32570480135972835,0.6107680797576904,0.6107680797576904,-0.8462569713592529,-13.117460250854492,4,0,a,llama,legal,zh
