rouge1,rouge2,rougeL,rougeLsum,dot,cosine,euclidean,manhattan,loop,refer,mode,model_name,task,language
0.1195402055016962,0.027889835992325737,0.08236456575751012,0.09004516744531338,0.5114768743515015,0.5114768743515015,-0.9712381362915039,-15.106853485107422,1,n-1,q,gpt-4o-mini,legal,en
0.1195402055016962,0.027889835992325737,0.08236456575751012,0.09004516744531338,0.5114768743515015,0.5114768743515015,-0.9712381362915039,-15.106853485107422,1,0,q,gpt-4o-mini,legal,en
0.4025584205511792,0.12175182855504496,0.1676807774751291,0.3685292288222922,0.6483972072601318,0.6483971476554871,-0.8186399936676025,-12.737548828125,1,n-1,a,gpt-4o-mini,legal,en
0.4025584205511792,0.12175182855504496,0.1676807774751291,0.3685292288222922,0.6483972072601318,0.6483971476554871,-0.8186399936676025,-12.737548828125,1,0,a,gpt-4o-mini,legal,en
0.4313828372936302,0.2305339538749949,0.3747105077826276,0.37501866425346375,0.6993849277496338,0.6993849873542786,-0.7397072315216064,-11.480257034301758,2,n-1,q,gpt-4o-mini,legal,en
0.08758958900694565,0.016893750011726116,0.06119456158174626,0.06802385050554696,0.4365283250808716,0.4365283250808716,-1.047214150428772,-16.22998809814453,2,0,q,gpt-4o-mini,legal,en
0.4207466867945633,0.15037381274795342,0.17813560658926075,0.39285761456206875,0.6999843120574951,0.6999843120574951,-0.7393513917922974,-11.519810676574707,2,n-1,a,gpt-4o-mini,legal,en
0.357911858707724,0.10091440745276573,0.14866301470566315,0.33593801623047226,0.5520986914634705,0.5520986914634705,-0.9229681491851807,-14.337180137634277,2,0,a,gpt-4o-mini,legal,en
0.5027915581646057,0.33048541770102924,0.4687812644961913,0.4687894229870859,0.7357889413833618,0.7357890605926514,-0.6683768630027771,-10.384917259216309,3,n-1,q,gpt-4o-mini,legal,en
0.07759116427992718,0.013461911312118565,0.05588720070486022,0.06145848439517279,0.40549784898757935,0.40549784898757935,-1.0773577690124512,-16.745075225830078,3,0,q,gpt-4o-mini,legal,en
0.4547858009522959,0.1828654164099181,0.20579551982301375,0.42489002925635333,0.7255401015281677,0.7255401015281677,-0.7051823139190674,-10.991141319274902,3,n-1,a,gpt-4o-mini,legal,en
0.3353745022467327,0.08527560046517799,0.1374049669487869,0.3156614739572786,0.4986445903778076,0.4986445903778076,-0.9773612022399902,-15.21975326538086,3,0,a,gpt-4o-mini,legal,en
0.5538735868504563,0.38021341454526103,0.5261457011961824,0.525540046431004,0.7396220564842224,0.7396220564842224,-0.6455835103988647,-10.002225875854492,4,n-1,q,gpt-4o-mini,legal,en
0.07396039885549131,0.01232377174343686,0.053291592969751694,0.058689042218007095,0.36993032693862915,0.36993032693862915,-1.1078276634216309,-17.187734603881836,4,0,q,gpt-4o-mini,legal,en
0.47669600477395546,0.21180706877351263,0.23259025794379118,0.4523649259697391,0.7526555061340332,0.7526555061340332,-0.6638924479484558,-10.31562328338623,4,n-1,a,gpt-4o-mini,legal,en
0.32236782941499526,0.08015122446878598,0.1318000392846258,0.3029487101360864,0.47560468316078186,0.47560468316078186,-1.0025255680084229,-15.596498489379883,4,0,a,gpt-4o-mini,legal,en
