rouge1,rouge2,rougeL,rougeLsum,cosine,loop,refer,mode,model_name,task,language
0.14064239230577863,0.03190336948599652,0.09310894539758946,0.10542798637443146,0.5193986892700195,1,n-1,q,chatglm,legal,en
0.14064239230577863,0.03190336948599652,0.09310894539758946,0.10542798637443146,0.5193986892700195,1,0,q,chatglm,legal,en
0.485333663559086,0.1594439500356828,0.20786815282239826,0.4463615565157729,0.7018709182739258,1,n-1,a,chatglm,legal,en
0.485333663559086,0.1594439500356828,0.20786815282239826,0.4463615565157729,0.7018709182739258,1,0,a,chatglm,legal,en
0.523119529774039,0.31442305390918035,0.47594988916342784,0.47597353957533495,0.8210388422012329,2,n-1,q,chatglm,legal,en
0.1046135317826176,0.017612429567106295,0.07205948089500552,0.08029925365470954,0.4551897644996643,2,0,q,chatglm,legal,en
0.544687925338819,0.20802742730140336,0.24288102031166617,0.5126734318922065,0.7944138050079346,2,n-1,a,chatglm,legal,en
0.44271267098194117,0.12940514369239442,0.18458203467551032,0.4095928931076321,0.6352319121360779,2,0,a,chatglm,legal,en
0.6368305639331815,0.4519143744739015,0.6073709181875515,0.6073636006745313,0.8660180568695068,3,n-1,q,chatglm,legal,en
0.0935841474786141,0.01391271775587947,0.0668809392580797,0.07371037377453513,0.4258618652820587,3,0,q,chatglm,legal,en
0.5683128983507363,0.2277277536421286,0.25990995186749055,0.5372804163184075,0.8178455829620361,3,n-1,a,chatglm,legal,en
0.4208131545875895,0.11399751049454909,0.1751734215266228,0.3897453240710797,0.5963242053985596,3,0,a,chatglm,legal,en
0.6565501256051095,0.4669329092881732,0.6280878219682942,0.6275559788191845,0.8824450969696045,4,n-1,q,chatglm,legal,en
0.08675987546291863,0.011465459220649867,0.06219145028271161,0.06788371022848334,0.4001820385456085,4,0,q,chatglm,legal,en
0.5813489696845141,0.23774247081075311,0.2696735873540444,0.5506377980462247,0.8353634476661682,4,n-1,a,chatglm,legal,en
0.4057613131947865,0.10486798165584871,0.16928644284321825,0.3767917526021514,0.5653334856033325,4,0,a,chatglm,legal,en
