rouge1,rouge2,rougeL,rougeLsum,cosine,loop,refer,mode,model_name,task,language
0.31220366281456147,0.12895518462822764,0.25123129788700616,0.2537133685967281,0.579879641532898,1,n-1,q,chatglm,code,en
0.31220366281456147,0.12895518462822764,0.25123129788700616,0.2537133685967281,0.579879641532898,1,0,q,chatglm,code,en
0.38580595024266007,0.1723796064174819,0.23778761558803158,0.36193397793972115,0.6627987027168274,1,n-1,a,chatglm,code,en
0.38580595024266007,0.1723796064174819,0.23778761558803158,0.36193397793972115,0.6627987027168274,1,0,a,chatglm,code,en
0.6151749676773663,0.42410822615702043,0.5717624109725785,0.5714563951459625,0.8477523922920227,2,n-1,q,chatglm,code,en
0.2755678863387768,0.10355266988332865,0.21750510290007485,0.21906550150775717,0.5374841690063477,2,0,q,chatglm,code,en
0.5203966135748668,0.2736485114833839,0.339098683871498,0.4764410610586505,0.7826417088508606,2,n-1,a,chatglm,code,en
0.35589823894752604,0.15038996316623846,0.21567118604917068,0.33416706477581526,0.6104776263237,2,0,a,chatglm,code,en
0.6588134623230492,0.4839970767874272,0.6183353099576094,0.6182165104598063,0.8793782591819763,3,n-1,q,chatglm,code,en
0.25872050013375714,0.09154551957156266,0.20499694766698207,0.20578948557271676,0.5106120109558105,3,0,q,chatglm,code,en
0.5514230513738474,0.30170205949301465,0.3653093674119273,0.5095178676575811,0.7936978340148926,3,n-1,a,chatglm,code,en
0.33666634239285753,0.1350933463319926,0.20353577681935114,0.3164103632446904,0.5844195485115051,3,0,a,chatglm,code,en
0.6803717908044257,0.5050102821719462,0.6391348181907788,0.6394145360942496,0.8801473379135132,4,n-1,q,chatglm,code,en
0.24392708194196827,0.08103741243807189,0.19219757846977126,0.19259267909399516,0.49491453170776367,4,0,q,chatglm,code,en
0.5609632094980777,0.3173115881497984,0.3802034938971347,0.5230625407873939,0.8141091465950012,4,n-1,a,chatglm,code,en
0.31807413513624405,0.12310769323493106,0.19178791213842283,0.2993339374795536,0.5559990406036377,4,0,a,chatglm,code,en
