rouge1,rouge2,rougeL,rougeLsum,cosine,loop,refer,mode,model_name,task,language
0.22361094534706286,0.06102414366784787,0.16453450209385373,0.16905493021665507,0.5815961360931396,1,n-1,q,chatglm,medical,en
0.22361094534706286,0.06102414366784787,0.16453450209385373,0.16905493021665507,0.5815961360931396,1,0,q,chatglm,medical,en
0.4722795583622868,0.1657196978219998,0.21298972627009227,0.43204283063634136,0.7401991486549377,1,n-1,a,chatglm,medical,en
0.4722795583622868,0.1657196978219998,0.21298972627009227,0.43204283063634136,0.7401991486549377,1,0,a,chatglm,medical,en
